Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/-37,1000,369,206,218,227,8877,189,13754,98.000%,8.71718,20.80,3.96
/Account/Login-38,1000,243,50,55,62,8822,43,11889,96.100%,8.69225,20.89,4.60
/Account/LogIn-39,1000,307,50,57,489,9425,44,13193,94.400%,8.56538,20.64,8.50
/-40,1000,87,50,56,155,1069,44,2382,94.400%,8.54453,20.04,4.98
/Forum/Browser/Forum-41,1000,182,50,56,1682,3064,43,5731,94.300%,8.47479,39.77,4.99
/Forum/WritePost/Forum-42,1000,96,50,55,65,1398,44,8670,94.200%,8.44980,20.21,5.18
/lib/jquery-validation-unobtrusive/jquery.validate.unobtrusive.min.js-43,1000,120,50,56,74,2393,42,5503,94.200%,8.44423,20.55,4.47
/lib/jquery-validation/dist/jquery.validate.min.js-44,1000,104,50,56,190,1956,42,7586,94.100%,8.44181,23.83,4.31
/canonical.html-45,1000,47,45,52,56,67,34,1061,0.000%,8.44195,2.49,2.48
/success.txt-46,1000,22,22,27,29,34,16,53,0.000%,8.44473,1.81,2.50
/success.txt-47,1000,22,22,27,29,35,16,54,0.000%,8.44530,1.81,2.50
/Forum/WritePost/Forum-48,1000,762,50,62,7391,13153,44,17525,94.400%,8.40386,39.16,9.31
/Forum/Browser-49,1000,252,50,61,1945,3936,43,6075,91.100%,8.37767,43.21,6.02
/Forum/ForumPost/Forum-50,1000,119,50,59,297,1999,43,9978,91.000%,8.37654,19.41,6.19
/-51,1000,78,50,58,239,712,41,2328,91.000%,8.37570,19.36,5.15
TOTAL,15000,188,50,199,216,4377,16,17525,75.147%,118.77519,293.44,70.22
